Persona,Approx Group,Date Active,Status,Handle,ID,Name,Followers,Tweets,Date Created,Date Suspended
0Hour,,2017-12-22,Suspended,@0HOUR1BANNED,937413588616085506,0HOUR1 (Brian DiPietro),,,2017-12-03,
0Hour,,2018-02-16,Suspended,@__0HOUR1___,1303193196286017537,0,,,2020-09-08,
0Hour,,2018-04-12,Suspended,@0H0UR,1146025687465308162,🇨🇴 ⏰01⏰ 🇨🇴,,,2019-07-02,
0Hour,,2018-04-12,Suspended,@0H0UR1,725012832,0,,,,
0Hour,,2018-08-19,Suspended,@___0HOUR1___,1101911112872747008,@0HOUR1,,,2019-03-02,
0Hour,,2021-11-25,Inactive,@____0HOUR1___,1368742045976653824,0HOUR1,1385,,2021-03-07,
45th,,2020-06-23,Suspended,@_Johann_S_Bach_,972258980822245376,45th Division,,,2018-03-10,2020-06-23
45th,,2020-06-26,Suspended,@Their_Big_Noses,1275233969248841728,45th Division,,,2020-06-23,
45th,,2020-08-25,Suspended,@45THD1V1S1ON___,1277369549499834370,45th Division,977,,2020-06-29,2020-08-25
45th,,2020-10-26,Suspended,@JackTownson14,1299867736638738434,45TH DIVISION,698,,2020-06-29,2020-10-26
45th,,2020-11-02,Deleted,@The45thProphet,1323043653116432384,The 45th Prophet,,,2020-11-02,
Absolute Zero,Shed adj,2019-11-01,Suspended,@Abs0lut3_ZR0,1148289469302398976,Absolute Zerø,243,,2019-07-08,
Absolute Zero,Shed adj,2021-02-18,Suspended,@Resonance_Freqq,1195485718774194178,Absølute Zerø,1089,,2019-11-15,2022-03-03
Absolute Zero,Shed adj,2022-03-13,Suspended,@Good_____Person,1468309111632646144,Absølute Zerø 🇧🇪,195,,2021-12-07,2022-03-14
Absolute Zero,Shed adj,2022-03-15,Suspended,@M0nster__Zer0,1503365061427052546,Mønster Zerø,90,,2022-03-14,2022-03-16
Absolute Zero,Shed adj,2022-03-18,Suspended,@Zero___Respect,1504083193653248004,Zero,73,,2022-03-16,2022-03-20
Absolute Zero,Shed adj,2022-03-29,Suspended,@Resolute_0,1507736623982727170,Resolute Zęrø,67,,2022-03-26,2022-03-30
Absolute Zero,Shed adj,2022-04-06,Suspended,@Lazarus_Zer0,1509128773454680069,Z3r0,76,,2022-03-30,2022-04-07
Absolute Zero,Shed adj,2022-04-25,Suspended,@Abs0lute___Zer0,1512016156080709637,Absølute Zerø,85,,2022-04-07,2022-04-26
Absolute Zero,Shed adj,2022-05-20,Suspended,@FourthRake,1526014309222035456,𝒵𝖊𝖗𝖔,75,,2022-05-15,2022-05-22
Ace,Nazi,2022-02-01,Suspended,@PunishedAce,1478284973027172352,Punished Ac3 ✠,383,,2022-01-04,2022-02-04
Ace,Nazi,2022-02-20,Suspended,@Ac3ofSpades88,1489398872589799424,,,,2022-02-03,2022-02-20
Ace,Nazi,2022-02-21,Suspended,@Ac3_17_76_,1495640853670350850,Ac3 ♠️,68,,2022-02-20,2022-02-23
Ace,Nazi,2022-02-23,Suspended,@Ac3_1488,1496521153468268544,Ac3 1488,145,,2022-02-23,2022-02-24
Ace,Nazi,2022-02-24,Suspended,@Ac3TheWignat88,1496922668699848705,✝️🇺🇸Ace⚡️⚡️,107,,2022-02-24,2022-02-25
Ace,Nazi,2022-02-25,Suspended,@Colonizer_1488,1497267020290686977,⚡️⚡️AC3🇺🇸✝️,35,,2022-02-25,2022-02-28
Ace,Nazi,2022-02-27,Suspended,@AceOfSpades88_,1497316805077045250,Ace🇺🇸|🇬🇧🇩🇪🇩🇰🇳🇴🇸🇪🇮🇸,136,,2022-02-25,2022-02-28
Ace,Nazi,2022-02-27,Suspended,@WignatFren1488,1497417425972707328,Ace_Racism Enthusiast,91,,2022-02-25,2022-02-28
Ace,Nazi,2022-03-03,Suspended,@AmericanWignat,1498375169592672262,Democracy hater,114,,2022-02-28,2022-03-03
Ace,Nazi,2022-03-17,Suspended,@ChristFan1776,1499445154649821198,/\ce,78,,2022-03-03,2022-03-17
Ace,Nazi,2022-03-21,Suspended,@NS_4ce_1776,1504515065621344267,,,,2022-03-17,2022-03-21
